Conference,Type,Title,In Charge,Presentation year
ICSE,F,QEDCartographer: Automating Formal Verification Using Reward-Free Reinforcement Learning,,
ICSE,F,Rango: Adaptive Retrieval-Augmented Proving for Automated Software Verification,,
ICSE,F,Ranking Relevant Tests for Order-Dependent Flaky Tests,,
ICSE,F,Reasoning Runtime Behavior of a Program with LLM: How Far Are We?,,
ICSE,F,REDII: Test Infrastructure to Enable Deterministic Reproduction of Failures for Distributed Systems,,
ICSE,F,Reduce Dependence for Sound Concurrency Bug Prediction,,
ICSE,F,Relationship Status: “It’s complicated” Developer-Security Expert Dynamics in Scrum,,
ICSE,F,RepairAgent: An Autonomous, LLM-Based Agent for Program Repair,,
ICSE,F,Repository-Level Graph Representation Learning for Enhanced Security Patch Detection,,
ICSE,F,Revisiting Unnaturalness for Automated Program Repair in the Era of Large Language Models,,
ICSE,F,RLCoder: Reinforcement Learning for Repository-Level Code Completion,,
ICSE,F,ROCODE: Integrating Backtracking Mechanism and Program Analysis in Large Language Models for Code Generation,,
ICSE,F,ROSA: Finding Backdoors with Fuzzing,,
ICSE,F,RUG: Turbo LLM for Rust Unit Test Generation,,
ICSE,F,RustAssistant: Using LLMs to Fix Compilation Errors in Rust Code,,
ICSE,F,SAND: Decoupling Sanitization from Fuzzing for Low Overhead,,
ICSE,F,Scenario-Driven and Context-Aware Automated Accessibility Testing for Android Apps,,
ICSE,F,Search-Based LLMs for Code Optimization,,
ICSE,F,SECRET: Towards Scalable and Efficient Code Retrieval via Segmented Deep Hashing,,
ICSE,F,SeeAction: Towards Reverse Engineering How-What-Where of HCI Actions from Screencasts for UI Automation,,
ICSE,F,Selecting Initial Seeds for Better JVM Fuzzing,,
ICSE,F,Show Me Your Code! Kill Code Poisoning: A Lightweight Method Based on Code Naturalness,,
ICSE,F,Similar but Patched Code Considered Harmful -- The Impact of Similar but Patched Code on Recurring Vulnerability Detection and How to Remove Them,,
ICSE,F,SmartReco: Detecting Read-Only Reentrancy via Fine-Grained Cross-DApp Analysis,,
ICSE,F,SOEN-101: Code Generation by Emulating Software Process Models Using Large Language Model Agents,,
ICSE,F,Software Model Evolution with Large Language Models: Experiments on Simulated, Public, and Industrial Datasets,,
ICSE,F,Source Code Summarization in the Era of Large Language Models,,
ICSE,F,SpecGen: Automated Generation of Formal Program Specifications via Large Language Models,,
ICSE,F,SpecRover: Code Intent Extraction via LLMs,,
ICSE,F,Static Analysis of Remote Procedure Call in Java Programs,,
ICSE,F,Studying Programmers Without Programming: Investigating Expertise Using Resting State fMRI,,
ICSE,F,Synthesizing Document Database Queries using Collection Abstractions,,
ICSE,F,TacDroid: Detection of Illicit Apps through Hybrid Analysis of UI-based Transition Graphs,,
ICSE,F,Template-Guided Program Repair in the Era of Large Language Models,,
ICSE,F,Testing and Understanding Deviation Behaviors in FHE-hardened Machine Learning Models,,
ICSE,F,Test Intention Guided LLM-based Unit Test Generation,,
ICSE,F,Thanos: DBMS Bug Detection via Storage Engine Rotation Based Differential Testing,,
ICSE,F,The Design Smells Breaking the Boundary between Android Variants and AOSP,,
ICSE,F,The Fact Selection Problem in LLM-Based Program Repair,,
ICSE,F,The Power of Types: Exploring the Impact of Type Checking on Neural Bug Detection in Dynamically Typed Languages,,
ICSE,F,The Product Beyond the Model -- An Empirical Study of Repositories of Open-Source ML Products,,
ICSE,F,The Same Only Different: On Information Modality for Configuration Performance Analysis,,
ICSE,F,The Seeds of the FUTURE Sprout from History: Fuzzing for Unveiling Vulnerabilities in Prospective Deep-Learning Libraries,,
ICSE,F,TIGER: A Generating-Then-Ranking Framework for Practical Python Type Inference,,
ICSE,F,TIVER: Identifying Adaptive Versions of C/C++ Third-Party Open-Source Components Using a Code Clustering Technique,,
ICSE,F,TOGLL: Correct and Strong Test Oracle Generation with LLMs,,
ICSE,F,TopSeed: Learning Seed Selection Strategies for Symbolic Execution from Scratch,,
ICSE,F,Toward a Better Understanding of Probabilistic Delta Debugging,,
ICSE,F,Towards Better Answers: Automated Stack Overflow Post Updating,,
ICSE,F,Towards High-strength Combinatorial Interaction Testing for Highly Configurable Software Systems,,
ICSE,F,Towards More Trustworthy Deep Code Models by Enabling Out-of-Distribution Detection,,
ICSE,F,Towards Neural Synthesis for SMT-assisted Proof-Oriented Programming,,
